590.24623  	0.00004  	 500  	8.56e+06  	 6.08e+00  	  C+ 	150 858.5079  	-  	167 795.8966  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 3  		T6976 	L3451
590.27835  	0.00004  	 50  	1.25e+06  	 6.34e-01  	  C+ 	150 858.5079  	-  	167 794.9709  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  	 2s22p5(2P°1/2)4d  	 2[5/2]°  	 2  		T6976 	L3451
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
590.64294  	0.00004  	 500  	4.51e+06  	 2.30e+00  	  C+ 	150 121.5922  	-  	167 047.6082  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[5/2]°  	 2  		T6976 	L3451
591.36330  	0.00010  	 2500  	3.19e+06  	 9.78e-01  	  C+ 	150 121.5922  	-  	167 026.9923  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 1  		T6976 	L7292
591.89068  	0.00004  	 2500  	2.97e+06  	 9.12e-01  	  C+ 	150 917.4307  	-  	167 807.7649  	 2s22p5(2P°3/2)3p  	 2[1/2]  	 0  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 1  		T6976 	L3451
591.90290  	0.00040  	 80  	4.15e+05  	 2.12e-01  	  C+ 	150 121.5922  	-  	167 011.5643  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[3/2]°  	 2  		T6976 	L4498
593.44522  	0.00040  	 750  	1.08e+06  	 1.12e-01  	  C+ 	150 121.5922  	-  	166 967.6752  	 2s22p5(2P°3/2)3p  	 2[3/2]  	 1  	 2s22p5(2P°3/2)4d  	 2[1/2]°  	 0  		T6976 	L4498
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
593.93154  	0.00040  	 500  	2.00e+05  	 6.21e-02  	  B+ 	149 824.2215  	-  	166 656.5114  	 2s22p5(2P°3/2)3p  	 2[5/2]  	 2  	 2s22p5(2P°1/2)5s  	 2[1/2]°  	 1  		T2318 	L4498
594.48340  	0.00005  	 5000  	1.13e+07  	 5.86e+00  	  B+ 	134 041.8400  	-  	150 858.5079  	 2s22p5(2P°3/2)3s  	 2[3/2]°  	 2  	 2s22p5(2P°1/2)3p  	 2[3/2]  	 2  		T2733 	L7292
596.16228  	0.00004  	 700  	2.28e+06  	 7.17e-01  	  C+ 	151 038.4524  	-  	167 807.7649  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 1  		T6976 	L3451
596.54710  	0.00004  	 5000  	6.41e+06  	 3.36e+00  	  C+ 	151 038.4524  	-  	167 796.9475  	 2s22p5(2P°1/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)4d  	 2[3/2]°  	 2  		T6976 	L3451
